name,is_business,license_number,type,company,city,state,zip,county,licensed_since,expires,disciplined
Tpm Leasing Llc,True,481014019,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Tpm Leasing Llc,Chicago,IL,60642,Cook,05/19/2023,10/31/2026,N
Ar Management & Real Estate Llc,True,481014029,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Ar Management & Real Estate Llc,Lincolnwood,IL,60712,Cook,06/01/2023,10/31/2026,N
Hooper Real Estate Llc,True,481014031,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Hooper Real Estate Llc,Fairfield,IL,62837,Wayne,06/07/2023,10/31/2026,N
Seed Realty Llc,True,481014055,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Seed Realty Llc,Des Plaines,IL,60016,Cook,07/21/2023,10/31/2026,N
Inherent Homes Llc,True,481014061,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Inherent Homes Llc,Chicago,IL,60644,Cook,08/07/2023,10/31/2026,N
Karmma Worldwide Llc,True,481014079,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Realty One Group Karmma,Chicago,IL,60631,Cook,09/12/2023,10/31/2026,N
Lorenz Realty Group,True,481014088,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Lorenz Realty Group,Chicago,IL,60655,Cook,09/28/2023,10/31/2026,N
Upturn Properties Llc,True,481014105,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Upturn Properties Llc,La Grange,IL,60525,Cook,11/07/2023,10/31/2026,N
"Hideout Iii, Llc",True,481014115,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,"Hideout Iii, Llc",Chicago,IL,60622,Cook,11/29/2023,10/31/2026,N
"Baxter Grey, Llc",True,481014126,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,"Baxter Grey, Llc",Wheaton,IL,60187,Dupage,12/13/2023,10/31/2026,N
Rural  Realty Llc,True,481014145,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Rural  Realty Llc,Barry,IL,62312,Pike,01/22/2024,10/31/2026,N
Kawash Group,True,481014155,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Kawash Group,Chicago,IL,60611,Cook,02/07/2024,10/31/2026,N
Gabriel J Serrano Llc,True,481014172,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,Homeology Solutions Qca,Rock Island,IL,61201,Rock Island,03/06/2024,10/31/2026,N
"Emerald Realty Group Of Rockford, Pllc",True,481014177,LICENSED REAL ESTATE LIMITED LIABILITY FIRM,"Emerald Realty Group Of Rockford, Pllc",Rockford,IL,61107,Winnebago,03/08/2024,10/31/2026,N
American Classic Realty And Development Inc,True,478011361,LICENSED REAL ESTATE BROKER CORPORATION,American Classic Realty And Development Inc,Lincolnwood,IL,60712,Cook,11/01/2004,10/31/2026,N
The Moring Group Ltd,True,478011384,LICENSED REAL ESTATE BROKER CORPORATION,Remax Professional Advantage,Byron,IL,61010,Ogle,11/18/2004,10/31/2026,N
